age,watch_hours,last_login_days,monthly_fee,number_of_profiles,avg_watch_time_per_day,engagement_score,gender_Male,gender_Other,subscription_type_Premium,subscription_type_Standard,region_Asia,region_Europe,region_North America,region_Oceania,region_South America,device_Laptop,device_Mobile,device_TV,device_Tablet,payment_method_Crypto,payment_method_Debit Card,payment_method_Gift Card,payment_method_PayPal,favorite_genre_Comedy,favorite_genre_Documentary,favorite_genre_Drama,favorite_genre_Horror,favorite_genre_Romance,favorite_genre_Sci-Fi,churned
63,25.73,11,13.99,1,2.14,16.87,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
60,3.01,30,13.99,3,0.1,-26.89,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
66,12.05,33,8.99,3,0.35,-20.6,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
51,3.7,37,17.99,2,0.1,-33.2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
63,5.84,20,17.99,1,0.28,-13.879999999999999,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
31,48.35,11,8.99,5,4.03,41.38,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
55,2.89,37,13.99,4,0.08,-34.03,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
38,29.84,56,17.99,4,0.52,-25.64,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
65,19.33,31,13.99,1,0.6,-11.07,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
43,2.5,33,17.99,3,0.07,-30.43,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
63,6.97,31,17.99,1,0.22,-23.810000000000002,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1
64,3.66,6,13.99,1,0.52,-1.8200000000000003,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
58,30.85,46,8.99,5,0.66,-14.489999999999998,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
31,1.77,34,13.99,3,0.05,-32.18,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
62,16.65,41,13.99,3,0.4,-23.950000000000003,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
35,25.08,2,13.99,5,8.36,31.439999999999998,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
34,23.2,18,13.99,1,1.22,6.419999999999998,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
65,37.82,31,17.99,3,1.18,8.0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
68,28.44,55,13.99,3,0.51,-26.049999999999997,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
46,13.38,3,13.99,2,3.35,13.73,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
62,14.8,40,13.99,5,0.36,-24.84,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
63,3.39,57,17.99,4,0.06,-53.55,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
62,13.15,11,17.99,1,1.1,3.25,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
41,15.26,21,8.99,5,0.69,-5.050000000000001,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
27,79.17,12,17.99,2,6.09,73.26,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
60,9.13,43,8.99,1,0.21,-33.66,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
60,3.29,20,17.99,2,0.16,-16.55,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
58,9.52,51,13.99,1,0.18,-41.3,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
18,3.56,23,13.99,4,0.15,-19.29,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
48,11.1,41,17.99,5,0.26,-29.64,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
26,23.13,27,13.99,2,0.83,-3.0400000000000027,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
21,9.91,27,17.99,2,0.35,-16.740000000000002,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
46,6.22,36,8.99,2,0.17,-29.61,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
62,0.45,20,17.99,5,0.02,-19.53,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
35,17.53,38,13.99,1,0.45,-20.02,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,4.52,21,13.99,2,0.21,-16.27,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
37,9.69,24,8.99,4,0.39,-13.92,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
46,5.78,4,13.99,2,1.16,2.9400000000000004,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41,18.87,9,17.99,3,1.89,11.760000000000002,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
21,4.89,3,17.99,4,1.22,3.1099999999999994,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
55,1.66,54,17.99,4,0.03,-52.31,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
64,4.42,17,17.99,3,0.25,-12.33,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
36,13.38,22,17.99,4,0.58,-8.04,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
67,9.87,6,17.99,3,1.41,5.279999999999999,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
23,23.6,56,17.99,4,0.41,-31.99,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
19,3.89,33,8.99,1,0.11,-29.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
20,3.4,33,17.99,5,0.1,-29.5,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
50,3.58,54,13.99,4,0.07,-50.35,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
33,31.11,39,17.99,4,0.78,-7.109999999999999,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
31,2.81,39,17.99,5,0.07,-36.12,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
20,9.87,29,13.99,3,0.33,-18.8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
18,35.52,40,8.99,3,0.87,-3.6099999999999994,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
31,4.6,1,17.99,1,2.3,5.8999999999999995,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
47,14.24,37,17.99,2,0.37,-22.39,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
49,2.9,46,8.99,2,0.06,-43.04,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
30,24.74,17,8.99,5,1.37,9.11,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22,2.93,27,8.99,2,0.1,-23.97,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
61,5.98,1,13.99,5,2.99,7.970000000000001,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
59,24.59,49,17.99,3,0.49,-23.92,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
42,18.17,2,17.99,4,6.06,22.23,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
21,13.97,14,8.99,3,0.93,0.9000000000000004,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
35,4.58,42,8.99,4,0.11,-37.31,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
32,17.18,22,8.99,4,0.75,-4.07,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
65,4.89,6,17.99,1,0.7,-0.41000000000000014,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
59,6.77,22,13.99,1,0.29,-14.940000000000001,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
70,1.28,52,8.99,5,0.02,-50.7,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
63,8.54,51,17.99,5,0.16,-42.3,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
29,17.58,2,8.99,1,5.86,21.439999999999998,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30,9.28,44,8.99,4,0.21,-34.51,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
52,6.18,41,8.99,3,0.15,-34.67,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
49,5.88,40,13.99,2,0.14,-33.980000000000004,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
33,2.86,30,13.99,5,0.09,-27.05,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
22,3.71,28,8.99,1,0.13,-24.16,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
29,1.7,43,8.99,5,0.04,-41.26,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
67,1.02,20,13.99,1,0.05,-18.93,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
53,1.36,35,17.99,2,0.04,-33.6,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
40,12.26,3,17.99,5,3.06,12.32,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
56,1.43,16,17.99,2,0.08,-14.49,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
35,26.9,49,8.99,2,0.54,-21.560000000000002,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
54,3.13,16,8.99,5,0.18,-12.69,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
19,3.72,11,8.99,5,0.31,-6.97,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
28,16.17,46,17.99,4,0.34,-29.49,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
19,5.18,43,8.99,4,0.12,-37.7,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
34,1.89,59,8.99,5,0.03,-57.08,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
19,8.03,1,17.99,3,4.01,11.04,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
45,3.4,27,8.99,3,0.12,-23.48,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
50,0.11,1,8.99,2,0.06,-0.8300000000000001,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
47,40.12,55,13.99,1,0.72,-14.160000000000004,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
40,32.88,36,13.99,4,0.89,-2.229999999999997,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
41,6.26,16,13.99,4,0.37,-9.370000000000001,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
48,16.78,2,17.99,1,5.59,20.37,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
67,3.29,25,13.99,1,0.13,-21.58,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
59,20.11,40,8.99,2,0.49,-19.400000000000002,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
60,19.36,45,13.99,2,0.42,-25.22,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
33,2.27,20,8.99,3,0.11,-17.62,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
24,2.42,56,8.99,3,0.04,-53.54,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
23,10.85,13,8.99,3,0.78,-1.370000000000001,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
34,9.59,28,17.99,4,0.33,-18.08,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
30,7.24,40,17.99,5,0.18,-32.58,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
69,7.85,43,13.99,5,0.18,-34.97,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
70,6.8,6,8.99,4,0.97,1.7699999999999996,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
42,0.88,33,17.99,1,0.03,-32.09,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
34,12.48,53,17.99,2,0.23,-40.29,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
51,2.04,6,17.99,2,0.29,-3.67,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
27,4.57,24,17.99,4,0.18,-19.25,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
19,19.23,20,13.99,3,0.92,0.15000000000000213,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
18,16.81,56,13.99,2,0.29,-38.900000000000006,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
23,8.17,38,17.99,3,0.21,-29.619999999999997,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
23,7.09,32,8.99,2,0.21,-24.7,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
50,7.92,58,17.99,4,0.13,-49.95,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
54,10.1,40,13.99,5,0.25,-29.65,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
68,9.07,32,8.99,3,0.27,-22.66,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
70,2.24,50,8.99,5,0.04,-47.72,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
28,11.25,52,8.99,5,0.21,-40.54,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
37,31.31,53,13.99,1,0.58,-21.110000000000003,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
51,8.32,48,17.99,2,0.17,-39.51,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
18,6.8,20,17.99,4,0.32,-12.879999999999999,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25,18.4,55,8.99,4,0.33,-36.27,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
33,44.72,7,8.99,4,5.59,43.31,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
30,3.61,43,17.99,4,0.08,-39.31,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
22,10.68,60,17.99,5,0.18,-49.14,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
40,8.13,4,8.99,4,1.63,5.760000000000002,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
44,38.18,49,17.99,3,0.76,-10.060000000000002,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
68,1.83,0,8.99,5,1.83,3.66,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
24,47.9,21,8.99,4,2.18,29.08,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
34,3.85,55,13.99,3,0.07,-51.08,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
62,1.55,17,8.99,2,0.09,-15.36,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
29,7.46,58,13.99,5,0.13,-50.41,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
62,6.67,47,8.99,2,0.14,-40.19,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
20,4.57,17,17.99,1,0.25,-12.18,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
60,1.03,2,13.99,5,0.34,-0.6299999999999999,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
25,6.71,2,13.99,4,2.24,6.949999999999999,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
57,12.95,27,13.99,4,0.46,-13.59,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
47,3.92,58,13.99,5,0.07,-54.01,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
54,24.44,28,8.99,4,0.84,-2.719999999999999,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
